,Unnamed: 0,id,tweet,label
0,0,af1c4ffa161c690486b68b817e1061a1,error que el mujer cometer en el primero cita url,1
1,1,af1c4ffa161c690486b68b817e1061a1,increible mascarilla borrar el mancha como si ser magia el cicatriz acne y el arruga desde el primero url,1
2,2,af1c4ffa161c690486b68b817e1061a1,ejercicio con silla facil practico y rapido de hacer que reducir el grasa de el panza rapidamente desde url,1
3,3,af1c4ffa161c690486b68b817e1061a1,huevo hervido asi el preparar este excelente remedio para el azucar alto en el sangre no olvidser hashtag url,1
4,4,af1c4ffa161c690486b68b817e1061a1,el tipo mas rallado en este mundo que tal tu parecer url via user,1
5,5,af1c4ffa161c690486b68b817e1061a1,el proyecto del estudiante el volver viral y dwayne johnson el enviar uno mensaje por twitter url,1
6,6,af1c4ffa161c690486b68b817e1061a1,truco para que uno hombre el enamorar perdidamente de tu nunca fallar url,1
7,7,af1c4ffa161c690486b68b817e1061a1,lunar rojo en el piel y el que advertir sobre tu salud ser mas comun en persona que tener mas de ano url,1
8,8,af1c4ffa161c690486b68b817e1061a1,ya saber que ser por este o no olvidser hashtag url,1
9,9,af1c4ffa161c690486b68b817e1061a1,como quitar el pesticida a tu alimento de forma facil barato y sano no olvid hashtag url,1
10,10,af1c4ffa161c690486b68b817e1061a1,uno like por este guerrero no olvid hashtag url,1
11,11,af1c4ffa161c690486b68b817e1061a1,o este ser el reaccion de leonardo di caprio cuando uno mujer mexicano indocumentado el chocar url,1
12,12,af1c4ffa161c690486b68b817e1061a1,nadie poder creer el que ver o o url,1
13,13,af1c4ffa161c690486b68b817e1061a1,el historia mas impresionante de hoy url,1
14,14,af1c4ffa161c690486b68b817e1061a1,mujer yo ensenar su secreto para el piel del rostro hermoso y sin arruga solo deber colocar este cada manana url,1
15,15,af1c4ffa161c690486b68b817e1061a1,ser lamentable el que estar hacer con el mundo no olvides hashtag url,1
16,16,af1c4ffa161c690486b68b817e1061a1,seguramente tener este planta medicinal en tu patio tu poder salvar el vida mas de uno vez no olvid url,1
17,17,af1c4ffa161c690486b68b817e1061a1,consejo para ser mejor programador url url,1
18,18,af1c4ffa161c690486b68b817e1061a1,aunque tu el pedir nunca hagar este acto i ntir tu enfermaras url,1
19,19,af1c4ffa161c690486b68b817e1061a1,my fitness mundial ejercicio y estiramiento para el musculo isqui url,1
20,20,af1c4ffa161c690486b68b817e1061a1,tratamiento desintoxicante de tres dia depura el cuerpo prevenir el cancer y eliminar el exceso de grasa si url,1
21,21,af1c4ffa161c690486b68b817e1061a1,el acercar el regreso a clase el dejar truco para mejorar el concentracion hashtag no olvid url,1
22,22,af1c4ffa161c690486b68b817e1061a1,el uso de el irrigacion nasal para tratar el sinusitis cronico poder ser de uno ayuda enorme si el padez url,1
23,23,af1c4ffa161c690486b68b817e1061a1,prueba este bebida proveniente de el planta para bajar el azucar no olvid hashtag url,1
24,24,af1c4ffa161c690486b68b817e1061a1,el organizacion mundial de el salud haber reconocer a el cebolla por su capacidad de ayudar a aliviar el sintoma url,1
25,25,af1c4ffa161c690486b68b817e1061a1,el industria aun este callada no decir nada porque este receta eliminar el piel arrugado y flacido no olvid url,1
26,26,af1c4ffa161c690486b68b817e1061a1,el que el aloir vera hacer en nuestro cuerpo url,1
27,27,af1c4ffa161c690486b68b817e1061a1,en el casa de mi hermano nunca haber mosca mosquito o alguno tipo de insecto volador pues con este trampa url,1
28,28,af1c4ffa161c690486b68b817e1061a1,my fitness mundial como calcular el macronutrient de tu dieta url,1
29,29,af1c4ffa161c690486b68b817e1061a1,con cual tu quedas no olvidser hashtag url,1
30,30,af1c4ffa161c690486b68b817e1061a1,este pareja tener ano vivir dentro de el alcantarilla pero tener que ver como lucir su casa no url,1
31,31,af1c4ffa161c690486b68b817e1061a1,wi fi uno asesino silencioso que yo estar quitar el vida lentamente y ni cuenta yo dar no olvidser hashtag url,1
32,32,af1c4ffa161c690486b68b817e1061a1,el disfrutar su cuerpo al maximo porque saber que en cada uno de su defecto el encontrar su belleza url,1
33,33,af1c4ffa161c690486b68b817e1061a1,preparado casero para blanquear el rodilla hoy mismo no olvid hashtag url,1
34,34,af1c4ffa161c690486b68b817e1061a1,el cosa el estar poner dificil para el g erito url,1
